family,model_t,model_t1,dataset,metric,drift,ci_lower,ci_upper,n_t,n_t1,n_bootstrap
openai,gpt-4-turbo,gpt-4o,bbq,sentiment_score,0.05166,-0.033021,0.133175,99,100,1000
openai,gpt-4-turbo,gpt-4o,bbq,toxicity_score,0.0,0.0,0.0,99,100,1000
openai,gpt-4-turbo,gpt-4o,bbq,stereotype_score,-0.010404,-0.034486,0.011637,99,100,1000
openai,gpt-4-turbo,gpt-4o,holistic_bias,sentiment_score,-0.020667,-0.041723,-0.003734,100,99,1000
openai,gpt-4-turbo,gpt-4o,holistic_bias,toxicity_score,-0.00298,-0.00799,0.002051,100,99,1000
openai,gpt-4-turbo,gpt-4o,holistic_bias,stereotype_score,-0.001636,-0.027737,0.024424,100,99,1000
openai,gpt-4-turbo,gpt-4o,realtoxicityprompts,sentiment_score,0.012237,-0.055713,0.078513,100,100,1000
openai,gpt-4-turbo,gpt-4o,realtoxicityprompts,toxicity_score,0.0,-0.006,0.006,100,100,1000
openai,gpt-4-turbo,gpt-4o,realtoxicityprompts,stereotype_score,-0.016,-0.044,0.01,100,100,1000
openai,gpt-4-turbo,gpt-4o,winobias,sentiment_score,0.013414,-0.068084,0.084517,100,100,1000
openai,gpt-4-turbo,gpt-4o,winobias,toxicity_score,-0.001,-0.003,0.0,100,100,1000
openai,gpt-4-turbo,gpt-4o,winobias,stereotype_score,-0.024,-0.04,-0.008,100,100,1000
openai,gpt-4o,gpt-4o-mini,bbq,sentiment_score,0.019519,-0.070304,0.098873,100,100,1000
openai,gpt-4o,gpt-4o-mini,bbq,toxicity_score,0.0,0.0,0.0,100,100,1000
openai,gpt-4o,gpt-4o-mini,bbq,stereotype_score,0.016,-0.006,0.038,100,100,1000
openai,gpt-4o,gpt-4o-mini,holistic_bias,sentiment_score,-0.002371,-0.019865,0.016729,99,100,1000
openai,gpt-4o,gpt-4o-mini,holistic_bias,toxicity_score,-0.00202,-0.005051,0.0,99,100,1000
openai,gpt-4o,gpt-4o-mini,holistic_bias,stereotype_score,-0.022364,-0.042613,-0.002202,99,100,1000
openai,gpt-4o,gpt-4o-mini,realtoxicityprompts,sentiment_score,0.007445,-0.053817,0.067797,100,100,1000
openai,gpt-4o,gpt-4o-mini,realtoxicityprompts,toxicity_score,0.001,-0.005,0.007,100,100,1000
openai,gpt-4o,gpt-4o-mini,realtoxicityprompts,stereotype_score,-0.012,-0.032,0.00605,100,100,1000
openai,gpt-4o,gpt-4o-mini,winobias,sentiment_score,0.085382,0.010783,0.155585,100,100,1000
openai,gpt-4o,gpt-4o-mini,winobias,toxicity_score,0.001,0.0,0.003,100,100,1000
openai,gpt-4o,gpt-4o-mini,winobias,stereotype_score,0.0,-0.01,0.012,100,100,1000
openai,gpt-4o-mini,gpt-4.1,bbq,sentiment_score,-0.042137,-0.140139,0.050608,100,100,1000
openai,gpt-4o-mini,gpt-4.1,bbq,toxicity_score,0.0,0.0,0.0,100,100,1000
openai,gpt-4o-mini,gpt-4.1,bbq,stereotype_score,0.024,-0.002,0.05,100,100,1000
openai,gpt-4o-mini,gpt-4.1,holistic_bias,sentiment_score,0.02126,0.00746,0.034157,100,100,1000
openai,gpt-4o-mini,gpt-4.1,holistic_bias,toxicity_score,0.003,0.0,0.007,100,100,1000
openai,gpt-4o-mini,gpt-4.1,holistic_bias,stereotype_score,0.014,-0.006,0.034,100,100,1000
openai,gpt-4o-mini,gpt-4.1,realtoxicityprompts,sentiment_score,-0.067433,-0.134548,-0.000941,100,100,1000
openai,gpt-4o-mini,gpt-4.1,realtoxicityprompts,toxicity_score,0.0,-0.006,0.006,100,100,1000
openai,gpt-4o-mini,gpt-4.1,realtoxicityprompts,stereotype_score,-0.004,-0.022,0.014,100,100,1000
openai,gpt-4o-mini,gpt-4.1,winobias,sentiment_score,-0.071082,-0.156163,0.017163,100,100,1000
openai,gpt-4o-mini,gpt-4.1,winobias,toxicity_score,0.001,-0.002,0.005,100,100,1000
openai,gpt-4o-mini,gpt-4.1,winobias,stereotype_score,0.052,0.032,0.072,100,100,1000
openai,gpt-4.1,gpt-4.1-mini,bbq,sentiment_score,0.042773,-0.048166,0.137496,100,100,1000
openai,gpt-4.1,gpt-4.1-mini,bbq,toxicity_score,0.0,0.0,0.0,100,100,1000
openai,gpt-4.1,gpt-4.1-mini,bbq,stereotype_score,-0.038,-0.062,-0.014,100,100,1000
openai,gpt-4.1,gpt-4.1-mini,holistic_bias,sentiment_score,-0.027807,-0.043969,-0.013464,100,100,1000
openai,gpt-4.1,gpt-4.1-mini,holistic_bias,toxicity_score,-0.002,-0.006,0.002,100,100,1000
openai,gpt-4.1,gpt-4.1-mini,holistic_bias,stereotype_score,-0.022,-0.042,-0.004,100,100,1000
openai,gpt-4.1,gpt-4.1-mini,realtoxicityprompts,sentiment_score,0.049294,-0.01679,0.120324,100,100,1000
openai,gpt-4.1,gpt-4.1-mini,realtoxicityprompts,toxicity_score,-0.004,-0.009,0.001,100,100,1000
openai,gpt-4.1,gpt-4.1-mini,realtoxicityprompts,stereotype_score,-0.002,-0.018,0.014,100,100,1000
openai,gpt-4.1,gpt-4.1-mini,winobias,sentiment_score,0.001278,-0.096537,0.099196,100,100,1000
openai,gpt-4.1,gpt-4.1-mini,winobias,toxicity_score,-0.001,-0.005,0.002,100,100,1000
openai,gpt-4.1,gpt-4.1-mini,winobias,stereotype_score,-0.03,-0.054,-0.006,100,100,1000
claude_sonnet,claude-sonnet-4-20250514,claude-sonnet-4-5-20250929,bbq,sentiment_score,-0.076466,-0.174504,0.010765,98,88,1000
claude_sonnet,claude-sonnet-4-20250514,claude-sonnet-4-5-20250929,bbq,toxicity_score,-0.00102,-0.003061,0.0,98,88,1000
claude_sonnet,claude-sonnet-4-20250514,claude-sonnet-4-5-20250929,bbq,stereotype_score,-0.014239,-0.03692,0.007582,98,88,1000
claude_sonnet,claude-sonnet-4-20250514,claude-sonnet-4-5-20250929,bold,sentiment_score,0.000898,-0.055746,0.059814,100,100,1000
claude_sonnet,claude-sonnet-4-20250514,claude-sonnet-4-5-20250929,bold,toxicity_score,-0.001,-0.006,0.004,100,100,1000
claude_sonnet,claude-sonnet-4-20250514,claude-sonnet-4-5-20250929,bold,stereotype_score,-0.004,-0.014,0.004,100,100,1000
claude_sonnet,claude-sonnet-4-20250514,claude-sonnet-4-5-20250929,holistic_bias,sentiment_score,-0.028039,-0.079003,0.014921,100,100,1000
claude_sonnet,claude-sonnet-4-20250514,claude-sonnet-4-5-20250929,holistic_bias,toxicity_score,-0.002,-0.016,0.011,100,100,1000
claude_sonnet,claude-sonnet-4-20250514,claude-sonnet-4-5-20250929,holistic_bias,stereotype_score,0.02,-5e-05,0.04005,100,100,1000
claude_sonnet,claude-sonnet-4-20250514,claude-sonnet-4-5-20250929,realtoxicityprompts,sentiment_score,-0.147005,-0.231565,-0.061426,99,91,1000
claude_sonnet,claude-sonnet-4-20250514,claude-sonnet-4-5-20250929,realtoxicityprompts,toxicity_score,-0.004429,-0.012956,0.004274,99,91,1000
claude_sonnet,claude-sonnet-4-20250514,claude-sonnet-4-5-20250929,realtoxicityprompts,stereotype_score,0.021734,-0.000848,0.046462,99,91,1000
claude_sonnet,claude-sonnet-4-20250514,claude-sonnet-4-5-20250929,winobias,sentiment_score,0.040901,-0.060383,0.135134,100,100,1000
claude_sonnet,claude-sonnet-4-20250514,claude-sonnet-4-5-20250929,winobias,toxicity_score,0.0,-0.004,0.004,100,100,1000
claude_sonnet,claude-sonnet-4-20250514,claude-sonnet-4-5-20250929,winobias,stereotype_score,0.032,0.004,0.06,100,100,1000
gemini,gemini-2.0-flash,gemini-2.5-flash,bbq,sentiment_score,0.06268,-0.021071,0.140354,100,100,1000
gemini,gemini-2.0-flash,gemini-2.5-flash,bbq,toxicity_score,0.0,0.0,0.0,100,100,1000
gemini,gemini-2.0-flash,gemini-2.5-flash,bbq,stereotype_score,0.012,-0.006,0.03005,100,100,1000
gemini,gemini-2.0-flash,gemini-2.5-flash,bold,sentiment_score,-0.003755,-0.059717,0.053222,100,99,1000
gemini,gemini-2.0-flash,gemini-2.5-flash,bold,toxicity_score,-0.001,-0.003,0.0,100,99,1000
gemini,gemini-2.0-flash,gemini-2.5-flash,bold,stereotype_score,0.00204,-0.004,0.008101,100,99,1000
gemini,gemini-2.0-flash,gemini-2.5-flash,holistic_bias,sentiment_score,-0.00815,-0.03665,0.021968,95,100,1000
gemini,gemini-2.0-flash,gemini-2.5-flash,holistic_bias,toxicity_score,0.000632,-0.00658,0.007843,95,100,1000
gemini,gemini-2.0-flash,gemini-2.5-flash,holistic_bias,stereotype_score,0.026632,0.000734,0.052637,95,100,1000
gemini,gemini-2.0-flash,gemini-2.5-flash,realtoxicityprompts,sentiment_score,-0.037311,-0.123368,0.050321,100,99,1000
gemini,gemini-2.0-flash,gemini-2.5-flash,realtoxicityprompts,toxicity_score,0.002061,-0.00499,0.009091,100,99,1000
gemini,gemini-2.0-flash,gemini-2.5-flash,realtoxicityprompts,stereotype_score,0.004182,-0.011838,0.022263,100,99,1000
gemini,gemini-2.0-flash,gemini-2.5-flash,winobias,sentiment_score,0.062061,-0.042699,0.16367,100,100,1000
gemini,gemini-2.0-flash,gemini-2.5-flash,winobias,toxicity_score,-0.005,-0.012,0.002,100,100,1000
gemini,gemini-2.0-flash,gemini-2.5-flash,winobias,stereotype_score,0.026,0.00595,0.04605,100,100,1000
gemini,gemini-2.5-flash,gemini-2.5-flash-lite,bbq,sentiment_score,-0.039645,-0.121625,0.043943,100,100,1000
gemini,gemini-2.5-flash,gemini-2.5-flash-lite,bbq,toxicity_score,0.0,0.0,0.0,100,100,1000
gemini,gemini-2.5-flash,gemini-2.5-flash-lite,bbq,stereotype_score,-0.008,-0.028,0.014,100,100,1000
gemini,gemini-2.5-flash,gemini-2.5-flash-lite,bold,sentiment_score,0.109067,0.045771,0.165273,99,99,1000
gemini,gemini-2.5-flash,gemini-2.5-flash-lite,bold,toxicity_score,0.0,0.0,0.0,99,99,1000
gemini,gemini-2.5-flash,gemini-2.5-flash-lite,bold,stereotype_score,-0.00404,-0.010101,0.0,99,99,1000
gemini,gemini-2.5-flash,gemini-2.5-flash-lite,holistic_bias,sentiment_score,0.005228,-0.029858,0.043264,100,100,1000
gemini,gemini-2.5-flash,gemini-2.5-flash-lite,holistic_bias,toxicity_score,0.008,-0.001,0.017,100,100,1000
gemini,gemini-2.5-flash,gemini-2.5-flash-lite,holistic_bias,stereotype_score,-0.002,-0.036,0.034,100,100,1000
gemini,gemini-2.5-flash,gemini-2.5-flash-lite,realtoxicityprompts,sentiment_score,0.113927,0.018518,0.20288,99,98,1000
gemini,gemini-2.5-flash,gemini-2.5-flash-lite,realtoxicityprompts,toxicity_score,-0.002999,-0.01008,0.003092,99,98,1000
gemini,gemini-2.5-flash,gemini-2.5-flash-lite,realtoxicityprompts,stereotype_score,0.01243,-0.007855,0.032756,99,98,1000
gemini,gemini-2.5-flash,gemini-2.5-flash-lite,winobias,sentiment_score,0.029436,-0.076057,0.131102,100,100,1000
gemini,gemini-2.5-flash,gemini-2.5-flash-lite,winobias,toxicity_score,0.002,-0.004,0.008,100,100,1000
gemini,gemini-2.5-flash,gemini-2.5-flash-lite,winobias,stereotype_score,-0.018,-0.04,0.006,100,100,1000
gemini,gemini-2.5-flash-lite,gemini-2.5-pro,bbq,sentiment_score,0.037621,-0.05352,0.127047,100,100,1000
gemini,gemini-2.5-flash-lite,gemini-2.5-pro,bbq,toxicity_score,0.0,0.0,0.0,100,100,1000
gemini,gemini-2.5-flash-lite,gemini-2.5-pro,bbq,stereotype_score,0.004,-0.02,0.03,100,100,1000
gemini,gemini-2.5-flash-lite,gemini-2.5-pro,bold,sentiment_score,0.097708,0.035253,0.162644,99,100,1000
gemini,gemini-2.5-flash-lite,gemini-2.5-pro,bold,toxicity_score,0.002,0.0,0.005,99,100,1000
gemini,gemini-2.5-flash-lite,gemini-2.5-pro,bold,stereotype_score,0.014,0.004,0.026,99,100,1000
gemini,gemini-2.5-flash-lite,gemini-2.5-pro,holistic_bias,sentiment_score,0.007745,-0.034317,0.048206,100,100,1000
gemini,gemini-2.5-flash-lite,gemini-2.5-pro,holistic_bias,toxicity_score,0.008,-0.003,0.018,100,100,1000
gemini,gemini-2.5-flash-lite,gemini-2.5-pro,holistic_bias,stereotype_score,0.052,0.00995,0.09,100,100,1000
gemini,gemini-2.5-flash-lite,gemini-2.5-pro,realtoxicityprompts,sentiment_score,-0.093874,-0.197317,0.005137,98,100,1000
gemini,gemini-2.5-flash-lite,gemini-2.5-pro,realtoxicityprompts,toxicity_score,0.006939,-0.001122,0.017919,98,100,1000
gemini,gemini-2.5-flash-lite,gemini-2.5-pro,realtoxicityprompts,stereotype_score,0.045388,0.0169,0.073391,98,100,1000
gemini,gemini-2.5-flash-lite,gemini-2.5-pro,winobias,sentiment_score,-0.034914,-0.139067,0.06872,100,100,1000
gemini,gemini-2.5-flash-lite,gemini-2.5-pro,winobias,toxicity_score,-0.003,-0.009,0.003,100,100,1000
gemini,gemini-2.5-flash-lite,gemini-2.5-pro,winobias,stereotype_score,-0.01,-0.03,0.008,100,100,1000
